fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
9.4,0.99,0.73,45.4,0.14,219.9,345.7,1.00975,2.97,1.11,10.1,7
9.6,1.13,0.83,42.1,0.209,191.5,251.1,1.01576,3.54,1.09,11.6,7
12.0,0.71,0.84,45.0,0.245,230.0,367.9,1.02571,3.19,1.42,11.3,7
10.4,1.01,1.29,47.5,0.238,228.5,342.1,1.01392,3.01,1.53,12.4,7
12.4,0.84,0.51,43.3,0.272,174.5,299.4,1.01643,2.95,1.3,12.3,7
12.9,0.8,1.12,54.9,0.157,250.9,362.3,1.01525,2.96,0.92,9.0,7
12.8,1.16,0.7,29.3,0.137,243.3,262.8,1.0038,3.19,1.34,13.5,7
8.4,0.63,1.17,47.5,0.21,162.3,234.8,1.01744,3.22,1.58,12.6,7
10.7,0.92,1.06,48.8,0.228,176.7,178.9,1.02483,3.06,1.45,11.7,7
10.5,0.81,1.11,52.3,0.149,170.2,219.6,1.0232,3.08,1.09,11.1,7
9.6,0.67,1.43,26.6,0.268,207.5,208.8,1.03097,3.15,1.21,11.8,7
10.9,1.19,1.01,46.3,0.292,183.6,297.0,1.00841,3.04,1.11,11.5,7
9.4,0.48,0.92,31.9,0.275,156.3,275.8,1.01656,3.41,1.62,12.4,7
12.2,1.07,1.14,27.7,0.299,217.5,327.1,1.03137,3.07,0.77,11.4,7
11.5,0.76,0.93,27.3,0.264,204.5,208.5,1.0254,3.19,1.02,10.6,7
14.4,0.79,1.13,21.5,0.138,115.0,241.2,1.01647,3.24,0.93,10.6,7
11.6,0.52,1.03,44.7,0.155,186.9,192.2,1.02841,3.17,0.87,12.3,7
8.0,0.72,1.02,33.0,0.329,116.5,281.5,1.02151,3.25,1.01,10.6,7
11.3,0.59,1.16,37.0,0.386,193.7,263.5,1.02007,3.25,1.08,9.4,7
11.3,0.42,0.54,44.5,0.366,107.2,311.6,1.0254,3.12,1.45,12.4,7
8.8,0.74,0.66,33.4,0.368,141.1,312.2,1.01368,3.34,1.43,12.8,7
10.3,1.11,1.16,21.4,0.286,181.6,265.2,1.0208,3.11,1.17,12.7,7
10.7,0.91,0.83,49.1,0.351,168.5,163.4,1.02708,3.12,1.24,11.9,7
10.8,1.08,1.19,52.6,0.382,184.0,281.1,1.01025,2.99,1.47,9.5,7
9.1,0.9,0.95,59.0,0.159,142.9,311.6,1.0269,3.14,1.24,13.4,7
11.5,1.07,0.94,49.3,0.269,217.9,207.8,1.01627,3.12,1.55,11.7,7
9.8,0.71,0.89,37.6,0.332,152.3,168.9,1.01343,3.18,1.39,12.3,7
11.7,0.49,1.37,56.6,0.503,152.7,306.3,1.03297,3.0,0.89,11.3,7
12.5,1.05,0.96,43.2,0.412,227.3,184.0,1.01352,3.58,1.36,10.9,7
9.1,0.9,1.31,29.6,0.365,123.5,371.4,1.00249,3.12,1.84,12.1,7
10.2,0.58,1.33,46.2,0.381,96.7,288.5,1.00752,2.99,1.0,12.4,7
12.5,1.11,1.25,30.0,0.263,160.8,287.7,1.02284,3.2,1.33,12.2,7
9.2,0.83,0.91,32.6,0.173,100.6,308.3,1.01348,2.92,1.27,12.6,7
12.1,1.13,1.21,29.4,0.199,238.4,113.1,1.00702,2.99,1.51,12.4,7
8.4,1.03,0.88,36.1,0.192,106.7,172.0,1.01419,3.24,1.27,12.3,7
9.2,1.0,0.94,41.0,0.255,186.6,264.4,1.00709,3.13,1.15,11.3,7
10.0,0.51,0.72,60.5,0.385,227.3,187.4,1.03388,3.03,1.04,9.5,7
12.4,0.74,0.71,45.7,0.107,130.6,260.2,1.02036,2.92,1.41,12.4,7
8.0,0.65,1.0,43.8,0.275,118.5,263.1,1.01446,3.12,1.41,13.8,7
8.6,1.0,1.3,23.5,0.216,142.1,168.8,1.02184,3.1,0.93,12.6,7
5.9,0.9,0.76,36.3,0.309,150.9,165.8,1.02504,3.2,1.39,11.6,7
13.7,1.14,0.95,39.1,0.279,216.8,416.1,1.0114,3.2,1.51,11.1,7
8.1,0.76,1.07,57.6,0.176,188.0,309.0,1.01317,3.16,1.51,13.1,7
9.7,1.2,0.85,50.4,0.466,229.6,340.0,1.02652,3.44,1.16,12.4,7
12.2,1.16,1.21,40.8,0.234,236.4,265.2,1.0152,3.35,1.4,12.2,7
12.2,0.91,0.75,34.0,0.133,158.7,332.6,1.01836,2.91,1.47,13.1,7
10.5,1.04,1.17,39.1,0.137,180.5,219.5,1.01242,2.93,1.55,11.1,7
11.6,1.11,0.95,38.2,0.269,110.3,347.8,1.0116,3.38,1.68,12.7,7
10.2,1.21,0.81,55.1,0.288,176.8,332.3,1.01533,2.99,1.62,10.6,7
12.5,1.11,1.14,36.6,0.21,158.5,304.3,1.0277,3.11,1.31,12.2,7
8.1,1.04,1.1,53.8,0.348,172.2,319.9,1.01601,3.18,1.09,12.0,7
7.0,1.22,0.92,50.9,0.155,160.7,311.2,1.01408,2.95,1.65,12.8,7
8.0,0.75,0.92,42.1,0.124,157.9,209.5,1.02623,3.11,1.41,12.0,7
12.0,0.72,0.72,19.0,0.376,188.5,251.3,1.02917,3.22,1.37,10.7,7
9.0,0.77,0.91,27.8,0.341,182.2,275.2,1.02145,3.09,1.72,12.4,7
11.9,1.23,0.72,8.7,0.101,216.2,369.1,1.01766,2.91,1.72,13.9,7
11.9,0.92,1.32,36.4,0.271,178.3,191.9,1.00895,2.91,1.29,11.5,7
11.8,0.91,0.45,29.7,0.362,144.7,368.4,1.01148,3.11,1.65,12.7,7
12.5,0.99,0.94,42.9,0.323,228.6,214.1,1.03024,2.83,0.83,11.9,7
10.4,0.31,0.9,44.6,0.336,129.2,349.2,1.02479,2.84,0.98,12.2,7
10.7,0.87,1.01,56.7,0.209,254.6,189.3,1.00944,3.29,1.43,10.1,7
11.6,0.98,1.23,40.0,0.188,110.3,292.3,1.01572,2.96,1.33,11.7,7
12.7,1.02,1.25,51.6,0.375,128.9,259.3,1.02631,3.15,0.48,11.6,7
10.9,1.05,0.8,46.5,0.137,189.3,187.6,1.01456,3.08,1.04,12.2,7
10.9,0.98,1.05,28.6,0.239,205.6,290.4,1.01903,3.12,1.54,13.0,7
8.4,0.9,1.06,34.0,0.136,203.0,336.6,1.0193,3.24,0.77,12.0,7
8.9,1.18,1.24,42.8,0.365,193.4,374.0,1.0234,3.31,0.97,12.7,7
8.8,1.25,0.95,53.1,0.286,164.6,230.0,1.0134,3.26,0.63,11.8,7
10.5,0.37,0.66,45.2,0.441,173.8,371.7,1.01371,3.15,1.42,13.6,7
9.0,0.81,0.67,52.8,0.26,120.1,385.2,1.01986,2.97,1.48,12.3,7
11.1,1.13,1.1,44.1,0.119,154.1,234.8,1.01251,3.38,0.67,10.8,7
11.5,0.37,1.05,38.1,0.284,146.3,232.6,1.01624,2.9,1.59,10.7,7
9.5,0.83,1.21,28.9,0.456,141.2,370.4,1.02936,3.11,1.43,12.4,7
8.2,0.68,1.02,44.9,0.233,153.9,274.5,1.01376,2.93,1.42,11.8,7
11.1,0.63,0.73,33.1,0.228,117.1,317.1,1.01989,3.08,1.52,12.7,7
6.6,0.56,0.94,41.0,0.178,99.8,377.7,1.02313,3.09,1.44,14.0,7
12.1,1.38,0.81,54.4,0.231,171.2,334.3,1.00884,2.92,1.2,10.1,7
13.7,1.08,0.76,58.3,0.311,197.8,301.5,1.02367,3.02,1.58,11.7,7
9.8,1.05,1.06,32.6,0.115,139.0,355.7,1.01036,2.95,1.41,13.7,7
13.5,1.31,1.22,26.1,0.23,103.3,305.1,1.02443,3.09,1.39,12.8,7
9.9,1.27,0.71,20.0,0.179,211.5,168.8,1.02258,2.89,1.26,13.8,7
12.6,1.26,1.25,33.6,0.243,224.0,410.2,1.0233,2.97,0.86,14.0,7
10.5,0.81,0.97,57.2,0.281,119.1,296.1,1.0241,3.27,0.76,11.2,7
10.8,0.87,1.24,53.3,0.437,137.1,200.4,1.01871,3.27,0.71,10.7,7
11.9,0.69,1.11,40.6,0.228,175.4,253.3,1.01366,3.19,1.6,11.9,7
9.1,1.14,1.2,61.2,0.39,132.5,315.0,1.02288,3.13,1.12,11.9,7
9.6,1.45,0.82,54.5,0.277,137.6,334.5,1.01209,3.03,1.15,12.1,7
11.5,0.69,1.18,45.5,0.163,92.1,334.3,1.02118,3.03,1.29,12.7,7
13.1,1.08,1.0,53.8,0.229,110.5,199.7,1.00907,3.33,1.32,9.1,7
12.0,0.76,0.81,43.6,0.373,70.5,254.6,1.02598,2.97,1.18,11.6,7
13.1,0.88,1.4,53.1,0.392,150.9,268.3,1.02852,3.09,0.69,11.2,7
10.7,0.72,1.31,40.2,0.212,146.4,346.0,1.00548,3.15,1.52,12.4,7
11.6,0.92,1.38,34.8,0.374,138.7,248.2,1.01509,3.23,1.52,11.5,7
13.9,0.87,1.25,46.3,0.232,176.5,264.3,1.01836,3.2,1.26,11.1,7
9.5,1.07,1.02,44.4,0.316,171.6,230.2,1.02219,3.28,0.83,10.2,7
8.9,1.18,0.68,32.1,0.18,210.0,187.8,1.01629,3.46,1.6,12.5,7
9.9,0.87,1.04,38.1,0.229,164.2,377.9,1.01904,2.88,1.25,12.9,7
10.7,1.25,1.37,58.5,0.38,210.0,370.7,1.01416,3.2,1.08,12.6,7
11.4,0.93,1.14,50.3,0.347,202.6,226.9,1.01517,3.03,1.63,11.5,7
13.5,1.31,1.22,26.1,0.23,103.3,305.1,1.02443,3.09,1.39,12.8,7
10.6,1.07,0.75,42.8,0.21,132.1,213.8,1.01473,3.37,1.18,11.4,7
13.3,0.91,0.97,42.6,0.209,176.7,357.1,1.0344,3.04,0.71,11.2,7
9.8,1.05,1.06,32.6,0.115,139.0,355.7,1.01036,2.95,1.41,13.7,7
8.7,1.3,0.95,34.3,0.262,187.2,198.3,1.0262,3.08,1.23,11.5,7
11.7,0.96,0.93,34.8,0.385,194.3,319.5,1.00788,3.41,1.54,10.2,7
9.9,0.54,1.23,51.6,0.103,136.5,346.4,1.02057,3.08,1.2,12.1,7
10.4,0.8,0.91,45.9,0.199,214.1,380.1,1.01789,3.38,1.03,10.6,7
12.0,0.91,0.9,53.7,0.309,114.6,309.0,1.02355,3.04,1.04,12.5,7
13.0,0.81,1.17,33.2,0.285,228.5,277.2,1.02902,3.29,1.14,10.3,7
9.6,0.98,0.94,58.1,0.34,150.9,321.5,1.02494,2.99,0.72,11.1,7
8.6,0.91,0.63,37.6,0.249,141.1,141.3,1.01981,3.26,1.41,11.1,7
8.4,1.03,0.88,36.1,0.192,106.7,172.0,1.01419,3.24,1.27,12.3,7
10.6,1.2,1.21,55.6,0.218,219.7,397.7,1.01664,3.17,0.9,12.2,7
9.3,0.88,1.28,44.1,0.283,206.9,246.3,1.02358,3.12,0.78,12.3,7
11.5,0.61,1.16,44.4,0.205,181.5,187.4,1.01705,3.16,1.3,10.8,7
8.4,1.22,1.23,44.7,0.29,204.2,326.7,1.01597,3.09,1.28,11.7,7
10.6,0.88,1.11,50.3,0.289,109.6,319.7,1.01367,3.09,0.77,11.3,7
8.9,0.89,0.77,44.3,0.198,149.4,272.6,1.00955,3.25,1.44,11.1,7
9.7,0.95,0.59,53.6,0.343,170.7,370.3,1.00779,3.32,1.51,12.1,7
12.4,0.99,0.71,46.1,0.231,201.8,274.7,1.00915,3.18,1.24,11.5,7
12.2,1.28,0.63,35.5,0.133,210.2,187.9,1.02429,2.94,1.32,12.3,7
12.5,0.84,0.79,33.6,0.125,248.9,95.3,1.01225,3.18,1.04,11.5,7
12.6,0.84,1.17,40.7,0.316,115.7,284.0,1.02251,2.97,1.18,12.5,7
11.2,1.0,0.88,50.2,0.238,242.9,241.3,1.01275,3.2,1.73,10.8,7
10.7,1.11,0.81,52.0,0.087,204.6,360.8,1.00951,2.86,1.29,12.1,7
12.9,1.31,1.04,41.8,0.28,152.7,234.6,1.01705,2.94,1.02,10.7,7
11.1,0.89,1.46,52.6,0.263,132.1,368.9,1.01785,3.26,1.43,10.7,7
10.5,1.27,1.08,48.6,0.223,147.0,224.9,1.01975,3.0,0.59,13.0,7
10.1,1.03,1.06,53.3,0.283,109.0,328.0,1.01746,3.39,1.02,13.8,7
9.9,0.39,0.74,49.6,0.303,163.4,338.5,1.03077,3.23,0.76,12.1,7
11.1,0.83,1.27,60.2,0.164,178.7,252.7,1.01522,3.1,1.53,11.6,7
8.3,0.68,0.94,38.2,0.326,129.0,254.1,1.01892,3.01,1.39,11.1,7
11.1,1.04,1.07,47.8,0.337,190.8,346.0,1.02681,3.17,0.56,10.9,7
11.4,1.17,0.72,56.1,0.3,166.0,349.1,1.01272,3.09,1.36,11.2,7
10.6,0.87,1.04,41.5,0.191,103.6,190.9,1.01905,3.17,0.91,12.1,7
12.9,1.22,1.21,23.3,0.329,142.9,356.6,1.01716,3.17,1.14,10.3,7
13.8,0.65,1.3,41.0,0.066,199.6,136.4,1.02153,3.34,1.29,12.1,7
11.5,0.58,1.1,41.8,0.36,196.8,249.2,1.00627,3.38,1.26,9.7,7
9.9,1.08,0.75,39.5,0.276,100.5,296.9,1.00222,3.15,1.59,12.0,7
10.3,1.19,1.34,38.5,0.405,240.9,337.9,1.00168,3.26,1.53,12.6,7
11.4,1.17,0.72,56.1,0.3,166.0,349.1,1.01272,3.09,1.36,11.2,7
10.4,1.01,1.01,48.3,0.253,111.4,314.5,1.01732,3.27,1.21,12.0,7
11.7,0.52,0.67,40.6,0.236,97.5,187.8,1.02548,3.22,1.32,10.9,7
12.7,0.9,1.2,40.6,0.532,96.2,247.2,1.02669,3.33,1.15,12.2,7
10.9,1.31,1.11,44.0,0.321,185.9,353.5,1.01696,3.13,1.62,11.3,7
10.3,1.4,1.25,59.5,0.283,264.7,293.2,1.00765,3.31,1.01,10.6,7
11.9,1.06,1.07,46.1,0.299,154.8,336.0,1.02071,3.22,0.96,12.4,7
7.2,1.23,1.41,37.8,0.187,246.9,341.3,1.02975,3.03,1.66,11.9,7
7.4,1.24,1.34,39.4,0.254,137.7,323.9,1.02312,3.33,1.31,13.5,7
10.6,0.79,0.76,49.4,0.367,114.2,341.6,1.0288,3.1,0.7,11.7,7
13.4,1.31,1.09,50.3,0.366,235.5,365.2,1.01677,3.0,1.59,10.8,7
8.4,0.76,1.07,43.4,0.312,102.8,214.9,1.01626,3.23,1.02,14.0,7
9.5,1.38,0.64,42.2,0.068,229.7,242.1,1.02308,3.09,1.0,12.2,7
13.5,0.76,1.3,42.4,0.342,221.7,279.5,1.0218,3.12,0.96,10.5,7
12.1,1.38,0.81,54.4,0.231,171.2,334.3,1.00884,2.92,1.2,10.1,7
10.1,1.16,0.8,34.4,0.164,190.4,333.6,1.00384,2.99,1.68,12.0,7
10.6,1.2,1.21,55.6,0.218,219.7,397.7,1.01664,3.17,0.9,12.2,7
13.1,0.77,1.11,51.2,0.391,204.4,255.0,1.02918,2.94,0.6,10.0,7
10.5,1.07,0.79,30.2,0.097,168.8,162.8,1.01609,3.18,1.59,13.6,7
9.5,0.88,0.98,27.2,0.302,178.9,345.6,1.015,3.07,1.34,12.0,7
7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,12.8,8
10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,12.6,8
5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,8
12.6,0.31,0.72,2.2,0.072,6.0,29.0,0.9987,2.88,0.82,9.8,8
11.3,0.62,0.67,5.2,0.086,6.0,19.0,0.9988,3.22,0.69,13.4,8
9.4,0.3,0.56,2.8,0.08,6.0,17.0,0.9964,3.15,0.92,11.7,8
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,8
10.7,0.35,0.53,2.6,0.07,5.0,16.0,0.9972,3.15,0.65,11.0,8
5.0,0.42,0.24,2.0,0.06,19.0,50.0,0.9917,3.72,0.74,14.0,8
7.8,0.57,0.09,2.3,0.065,34.0,45.0,0.99417,3.46,0.74,12.7,8
9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.99462,3.21,0.69,12.5,8
10.0,0.26,0.54,1.9,0.083,42.0,74.0,0.99451,2.98,0.63,11.8,8
7.9,0.54,0.34,2.5,0.076,8.0,17.0,0.99235,3.2,0.72,13.1,8
8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.99516,3.35,0.69,11.7,8
5.5,0.49,0.03,1.8,0.044,28.0,87.0,0.9908,3.5,0.82,14.0,8
7.2,0.33,0.33,1.7,0.061,3.0,13.0,0.996,3.23,1.1,10.0,8
7.2,0.38,0.31,2.0,0.056,15.0,29.0,0.99472,3.23,0.76,11.3,8
7.4,0.36,0.3,1.8,0.074,17.0,24.0,0.99419,3.24,0.7,11.4,8
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8
6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8
5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8
5.2,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8
6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.9906,3.26,0.57,12.7,8
6.7,0.26,0.39,1.1,0.04,45.0,147.0,0.9935,3.32,0.58,9.6,8
7.0,0.24,0.36,2.8,0.034,22.0,112.0,0.99,3.19,0.38,12.6,8
6.1,0.31,0.58,5.0,0.039,36.0,114.0,0.9909,3.3,0.6,12.3,8
5.0,0.55,0.14,8.3,0.032,35.0,164.0,0.9918,3.53,0.51,12.5,8
6.4,0.32,0.35,4.8,0.03,34.0,101.0,0.9912,3.36,0.6,12.5,8
7.0,0.23,0.36,7.1,0.028,31.0,104.0,0.9922,3.35,0.47,12.1,8
6.6,0.16,0.32,1.4,0.035,49.0,186.0,0.9906,3.35,0.64,12.4,8
6.0,0.25,0.28,2.2,0.026,54.0,126.0,0.9898,3.43,0.65,12.9,8
5.9,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.48,10.5,8
6.5,0.36,0.28,3.2,0.037,29.0,119.0,0.9908,3.25,0.65,12.4,8
6.2,0.24,0.29,13.3,0.039,49.0,130.0,0.9952,3.33,0.46,11.0,8
7.1,0.32,0.34,14.5,0.039,46.0,150.0,0.995,3.38,0.5,12.5,8
6.6,0.33,0.31,1.3,0.02,29.0,89.0,0.99035,3.26,0.44,12.4,8
8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,8
8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,8
6.0,0.18,0.31,1.4,0.036,14.0,75.0,0.99085,3.34,0.58,11.1,8
7.3,0.3,0.34,2.7,0.044,34.0,108.0,0.99105,3.36,0.53,12.8,8
7.5,0.42,0.34,4.3,0.04,34.0,108.0,0.99155,3.14,0.45,12.8,8
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8
7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,8
7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,8
8.1,0.27,0.35,1.7,0.03,38.0,103.0,0.99255,3.22,0.63,10.4,8
7.8,0.18,0.46,12.6,0.042,41.0,143.0,1.0,3.24,0.76,8.5,8
6.9,0.12,0.36,2.2,0.037,18.0,111.0,0.9919,3.41,0.82,11.9,8
6.9,0.21,0.28,2.4,0.056,49.0,159.0,0.9944,3.02,0.47,8.8,8
7.1,0.25,0.39,2.1,0.036,30.0,124.0,0.9908,3.28,0.43,12.2,8
7.9,0.28,0.41,2.0,0.044,50.0,152.0,0.9934,3.45,0.49,10.7,8
6.8,0.19,0.32,7.05,0.019,54.0,188.0,0.9935,3.25,0.37,11.1,8
5.2,0.24,0.45,3.8,0.027,21.0,128.0,0.992,3.55,0.49,11.2,8
7.0,0.24,0.32,1.3,0.037,39.0,123.0,0.992,3.17,0.42,11.2,8
5.3,0.24,0.33,1.3,0.033,25.0,97.0,0.9906,3.59,0.38,11.0,8
5.2,0.24,0.45,3.8,0.027,21.0,128.0,0.992,3.55,0.49,11.2,8
7.0,0.15,0.38,2.2,0.047,33.0,96.0,0.9928,3.13,0.39,10.4,8
6.0,0.26,0.42,5.2,0.027,70.0,178.0,0.9914,3.4,0.4,12.3,8
6.1,0.31,0.37,8.4,0.031,70.0,170.0,0.9934,3.42,0.4,11.7,8
6.6,0.21,0.38,2.2,0.026,40.0,104.0,0.9914,3.25,0.4,11.1,8
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,8
7.2,0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.34,11.1,8
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,8
7.5,0.28,0.34,4.2,0.028,36.0,116.0,0.991,2.99,0.41,12.3,8
8.0,0.45,0.36,8.8,0.026,50.0,151.0,0.9927,3.07,0.25,12.7,8
6.8,0.24,0.4,1.8,0.047,34.0,105.0,0.99,3.13,0.49,12.8,8
7.8,0.21,0.39,1.8,0.034,62.0,180.0,0.991,3.09,0.75,12.6,8
7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,8
7.3,0.23,0.37,1.9,0.041,51.0,165.0,0.9908,3.26,0.4,12.2,8
7.3,0.39,0.37,1.1,0.043,36.0,113.0,0.991,3.39,0.48,12.7,8
7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,8
6.8,0.35,0.32,2.4,0.048,35.0,103.0,0.9911,3.28,0.46,12.0,8
7.4,0.4,0.29,5.4,0.044,31.0,122.0,0.994,3.3,0.5,11.1,8
7.1,0.26,0.31,2.2,0.044,29.0,128.0,0.9937,3.34,0.64,10.9,8
8.2,0.22,0.36,6.8,0.034,12.0,90.0,0.9944,3.01,0.38,10.5,8
6.9,0.3,0.33,4.1,0.035,26.0,155.0,0.9925,3.25,0.79,12.3,8
8.0,0.44,0.49,9.1,0.031,46.0,151.0,0.9926,3.16,0.27,12.7,8
8.0,0.34,0.49,9.0,0.033,39.0,180.0,0.9936,3.13,0.38,12.3,8
7.7,0.35,0.49,8.65,0.033,42.0,186.0,0.9931,3.14,0.38,12.4,8
7.0,0.17,0.74,12.8,0.045,24.0,126.0,0.9942,3.26,0.38,12.2,8
6.2,0.22,0.49,6.0,0.029,31.0,128.0,0.9928,3.41,0.36,11.3,8
7.1,0.28,0.49,6.5,0.041,28.0,111.0,0.9926,3.41,0.58,12.2,8
6.5,0.13,0.37,1.0,0.036,48.0,114.0,0.9911,3.41,0.51,11.5,8
6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,8
6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,8
6.4,0.15,0.36,1.8,0.034,43.0,150.0,0.9922,3.42,0.69,11.0,8
6.4,0.15,0.36,1.8,0.034,43.0,150.0,0.9922,3.42,0.69,11.0,8
6.9,0.25,0.27,9.05,0.039,37.0,128.0,0.9936,3.27,0.34,11.3,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
6.3,0.41,0.18,3.5,0.027,23.0,109.0,0.99018,3.34,0.54,12.8,8
6.8,0.37,0.28,1.9,0.024,64.0,106.0,0.98993,3.45,0.6,12.6,8
7.7,0.4,0.27,4.5,0.034,27.0,95.0,0.99175,3.21,0.59,12.3,8
6.9,0.15,0.28,4.4,0.029,14.0,107.0,0.99347,3.24,0.46,10.4,8
6.9,0.15,0.28,4.4,0.029,14.0,107.0,0.99347,3.24,0.46,10.4,8
6.8,0.46,0.26,2.7,0.042,28.0,83.0,0.99114,3.38,0.51,12.0,8
7.0,0.28,0.26,1.7,0.042,34.0,130.0,0.9925,3.43,0.5,10.7,8
7.3,0.17,0.24,8.1,0.121,32.0,162.0,0.99508,3.17,0.38,10.4,8
7.3,0.17,0.24,8.1,0.121,32.0,162.0,0.99508,3.17,0.38,10.4,8
8.0,0.13,0.25,1.1,0.033,15.0,86.0,0.99044,2.98,0.39,11.2,8
5.8,0.17,0.34,1.8,0.045,96.0,170.0,0.99035,3.38,0.9,11.8,8
5.8,0.17,0.34,1.8,0.045,96.0,170.0,0.99035,3.38,0.9,11.8,8
5.8,0.315,0.27,1.55,0.026,15.0,70.0,0.98994,3.37,0.4,11.9,8
7.0,0.36,0.32,10.05,0.045,37.0,131.0,0.99352,3.09,0.33,11.7,8
7.0,0.36,0.32,10.05,0.045,37.0,131.0,0.99352,3.09,0.33,11.7,8
7.0,0.36,0.32,10.5,0.045,35.0,135.0,0.9935,3.09,0.33,11.6,8
6.4,0.22,0.32,7.2,0.028,15.0,83.0,0.993,3.13,0.55,10.9,8
5.5,0.15,0.32,14.0,0.031,16.0,99.0,0.99437,3.26,0.38,11.5,8
6.4,0.22,0.32,7.2,0.028,15.0,83.0,0.993,3.13,0.55,10.9,8
6.6,0.29,0.31,3.9,0.027,39.0,96.0,0.99035,3.24,0.6,12.6,8
5.8,0.21,0.32,1.6,0.045,38.0,95.0,0.98946,3.23,0.94,12.4,8
5.2,0.285,0.29,5.15,0.035,64.0,138.0,0.9895,3.19,0.34,12.4,8
6.5,0.44,0.47,5.45,0.014,44.0,137.0,0.98984,3.13,0.32,13.0,8
5.2,0.155,0.33,1.6,0.028,13.0,59.0,0.98975,3.3,0.84,11.9,8
5.6,0.21,0.4,1.3,0.041,81.0,147.0,0.9901,3.22,0.95,11.6,8
5.2,0.155,0.33,1.6,0.028,13.0,59.0,0.98975,3.3,0.84,11.9,8
7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,8
7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,8
7.0,0.12,0.29,10.3,0.039,41.0,98.0,0.99564,3.19,0.38,9.8,8
4.9,0.33,0.31,1.2,0.016,39.0,150.0,0.98713,3.33,0.59,14.0,8
5.5,0.34,0.26,2.2,0.021,31.0,119.0,0.98919,3.55,0.49,13.0,8
6.5,0.35,0.36,0.8,0.034,32.0,111.0,0.98942,3.11,0.5,12.1,8
6.8,0.22,0.31,6.9,0.037,33.0,121.0,0.99176,3.02,0.39,11.9,8
7.1,0.47,0.29,14.8,0.024,22.0,142.0,0.99518,3.12,0.48,12.0,8
7.1,0.47,0.29,14.8,0.024,22.0,142.0,0.99518,3.12,0.48,12.0,8
6.8,0.28,0.43,7.6,0.03,30.0,110.0,0.99164,3.08,0.59,12.5,8
7.0,0.53,0.43,6.1,0.029,6.0,76.0,0.99118,3.08,0.5,12.5,8
6.8,0.28,0.43,7.6,0.03,30.0,110.0,0.99164,3.08,0.59,12.5,8
